Time(s),Speed(km/h)
411,114.808
412,114.9162
413,115.0754
414,115.4644
415,116.0255
416,116.1618
417,116.3188
418,116.4796
419,116.6049
420,116.7314
421,116.8507
422,116.9264
423,116.9613
424,116.9693
425,115.9452
426,114.8616
427,114.2012
428,113.5713
429,113.3312
430,113.4022
431,113.3092
432,112.933
433,112.5718
434,111.9977
435,110.5301
436,109.9307
437,109.3797
438,108.9922
439,108.7814
440,108.6879
441,108.597
442,108.5059
443,108.3866
444,108.2195
445,107.8365
446,107.413
447,107.0011
448,106.6461
449,106.313
450,106.1275
451,105.9885
452,104.8889
453,102.2915
454,100.5324
455,99.1614
456,98.9059
457,98.7904
458,98.6713
459,98.767
460,99.0857
461,99.4524
462,99.771
463,99.9241
464,100.008
465,100.0899
466,100.1721
467,100.2545
468,100.3345
469,100.4136
470,100.4925
471,100.5716
472,100.649
473,100.724
474,100.7931
475,100.6973
476,100.5606
477,99.418
478,96.9252
479,94.7399
480,92.3016
481,89.2264
482,87.4005
483,83.961
484,80.5694
485,78.9292
486,76.7698
487,74.1199
488,69.9565
489,63.5298
490,56.4845
491,53.4023
492,49.1077
493,42.0199
494,33.619
495,26.1714
496,22.6158
497,15.8846
498,7.5888
499,2.1165
500,0.2028
501,-0.0236
502,-0.0188
503,0.0028
504,0
505,0
506,0
507,0
508,0.7947
509,8.1767
510,17.2557
511,26.48
512,35.6757
513,42.8414
514,46.2686
515,46.1317
516,43.9548
517,39.4135
518,34.8913
519,28.5185
520,21.696
521,14.2914
522,14.0857
523,21.8645
524,29.2558
525,35.6998
526,41.326
527,45.0219
528,45.521
529,46.0984
530,41.3786
531,34.522
532,27.0582
533,19.5475
534,12.0007
535,8.4979
536,4.0291
537,3.2259
538,6.9428
539,14.473
540,22.6396
541,30.1679
542,38.0491
543,44.1309
544,45.8294
545,45.1889
546,43.1729
547,38.4236
548,32.9275
549,25.6558
550,17.2894
551,8.469
552,5.1787
553,5.2174
554,13.482
555,24.3674
556,33.2582
557,40.3003
558,45.7496
559,49.3251
560,47.0537
561,41.0686
562,35.1327
563,27.2393
564,17.4816
565,8.062
566,0.8631
567,-0.157
568,0.0205
569,0.0055
570,0
571,0
572,0
573,0
574,0
575,2.5686
576,12.5406
577,23.5644
578,34.3033
579,43.7844
580,51.5742
581,59.0292
582,65.3579
583,70.8356
584,75.9603
585,80.2222
586,82.8608
587,83.7936
588,82.4885
589,78.7544
590,74.9972
591,69.3431
592,62.0747
593,57.1804
594,49.8063
595,41.0461
596,32.2689
597,25.1377
598,17.5622
599,7.0188
600,0
