Time(s),Speed(km/h)
406,126.9211
407,127.154
408,127.3999
409,127.6449
410,127.867
411,128.0994
412,128.3269
413,128.5272
414,128.5988
415,128.5869
416,128.5873
417,128.6342
418,128.6744
419,128.6744
420,128.6438
421,128.6768
422,128.8343
423,128.9709
424,129.1056
425,129.0839
426,129.1064
427,129.1297
428,129.1688
429,129.2591
430,129.3386
431,129.4351
432,129.5659
433,129.6951
434,129.8402
435,130.1128
436,130.3964
437,130.6526
438,130.9019
439,131.1587
440,131.3913
441,131.399
442,130.514
443,128.5407
444,127.8935
445,127.3971
446,127.1489
447,126.7712
448,126.425
449,126.0911
450,125.7982
451,125.4975
452,125.2021
453,124.9067
454,124.6887
455,124.5946
456,124.614
457,124.7021
458,124.923
459,125.2124
460,125.6219
461,126.1602
462,126.7874
463,127.2593
464,127.3462
465,127.183
466,126.6198
467,126.1656
468,125.775
469,125.4662
470,124.5642
471,122.8365
472,121.1181
473,120.6048
474,120.8729
475,121.2502
476,121.5428
477,121.6486
478,120.324
479,118.5873
480,117.0503
481,115.0776
482,113.4682
483,110.6269
484,104.159
485,96.6634
486,88.3128
487,84.7826
488,83.7476
489,85.2113
490,87.8652
491,90.7284
492,92.3835
493,93.6041
494,94.1372
495,94.024
496,94.0065
497,94.0013
498,94.2683
499,95.0848
500,96.0047
501,97.1307
502,98.3038
503,99.6173
504,100.7335
505,101.6598
506,102.7165
507,103.883
508,105.0877
509,106.7335
510,107.6763
511,108.5734
512,109.3678
513,109.7002
514,109.971
515,110.2666
516,110.4438
517,110.5749
518,110.6818
519,110.7908
520,110.7999
521,110.7107
522,110.3221
523,110.3724
524,111.0197
525,111.8504
526,113.3059
527,113.8476
528,112.8049
529,111.1349
530,108.8148
531,106.9753
532,106.5659
533,107.9226
534,109.0613
535,110.171
536,111.2218
537,111.7793
538,112.2031
539,112.6197
540,113.1531
541,113.7229
542,114.3395
543,114.7904
544,113.1458
545,111.6243
546,109.3315
547,106.6546
548,104.7561
549,104.7725
550,106.5829
551,108.5487
552,110.4542
553,112.6999
554,114.4968
555,115.7221
556,116.694
557,117.6607
558,118.5212
559,119.2422
560,119.9428
561,119.0544
562,117.4402
563,116.6104
564,116.0367
565,115.6729
566,114.4293
567,112.8008
568,111.596
569,110.9805
570,110.8278
571,111.0701
572,111.3553
573,111.5131
574,111.497
575,111.433
576,111.3156
577,111.3073
578,111.814
579,112.3309
580,112.5994
581,112.6087
582,112.2682
583,111.2242
584,109.4837
585,106.2127
586,104.3472
587,103.4886
588,103.6117
589,102.5091
590,101.0973
591,97.2315
592,91.0159
593,84.5724
594,75.5447
595,64.357
596,57.3246
597,52.4866
598,49.8461
599,46.2268
600,45.2904
601,44.5988
602,44.4828
603,47.6113
604,51.5012
605,55.8469
606,60.3864
607,63.8163
608,66.7744
609,70.1828
610,73.4699
611,77.3957
612,81.5228
613,85.2979
614,88.5777
615,92.1439
616,95.1566
617,97.4644
618,100.2214
619,102.4284
620,103.4
621,104.718
622,105.686
623,106.6907
624,107.5736
625,106.8733
626,105.0622
627,102.7539
628,99.7813
629,98.3382
630,98.3049
631,98.9006
632,99.4719
633,99.9391
634,100.3903
635,100.9415
636,101.3925
637,101.7342
638,102.1384
639,102.5492
640,102.8728
641,103.2033
642,103.4932
643,103.7475
644,104.0128
645,104.423
646,104.984
647,105.4471
648,105.7715
649,105.9011
650,106.014
651,106.0858
652,106.1533
653,106.2257
654,106.2908
655,106.3584
656,106.422
657,106.4901
658,106.5584
659,106.6271
660,106.6982
661,106.7514
662,106.6138
663,106.6871
664,106.7569
665,106.8247
666,106.897
667,106.8072
668,106.717
669,106.6254
670,106.5382
671,106.4833
672,106.5515
673,106.6344
674,106.7235
675,106.8291
676,107.1131
677,107.3956
678,107.7031
679,107.9963
680,108.2926
681,108.6383
682,109.1372
683,109.9482
684,110.7511
685,111.6915
686,112.8222
687,114.157
688,115.2495
689,116.3641
690,117.3745
691,118.2133
692,119.1618
693,120.0804
694,120.8937
695,121.4345
696,122.08
697,122.6504
698,123.2237
699,123.6628
700,124.0034
701,124.3434
702,124.5652
703,124.727
704,124.7769
705,124.5848
706,124.3989
707,124.2633
708,124.1192
709,123.9955
710,123.8622
711,123.4187
712,122.6105
713,122.0256
714,121.8388
715,121.6495
716,121.462
717,121.2705
718,121.141
719,121.0304
720,120.9048
721,120.2013
722,119.5218
723,119.2906
724,119.3561
725,119.9128
726,120.4937
727,120.9448
728,121.4394
729,121.8845
730,122.4617
731,122.962
732,123.4234
733,123.7182
734,123.6133
735,123.2111
736,122.8373
737,122.5019
738,122.3169
739,122.3814
740,122.4462
741,122.5154
742,122.4771
743,122.4385
744,122.479
745,122.6464
746,122.8566
747,123.0519
748,123.2905
749,123.5197
750,123.8581
751,124.2252
752,124.9274
753,125.7407
754,126.4181
755,127.1418
756,127.8617
757,128.4809
758,128.9405
759,129.3806
760,129.6425
761,129.1444
762,128.945
763,128.7414
764,128.4752
765,128.3285
766,126.909
767,126.084
768,125.5234
769,125.0718
770,124.9328
771,124.9486
772,124.5497
773,124.245
774,123.9659
775,123.5255
776,122.8657
777,122.2751
778,121.8
779,121.6705
780,121.8293
781,121.924
782,121.6301
783,120.8643
784,120.2001
785,119.2823
786,117.7223
787,117.0075
788,116.6361
789,116.7596
790,117.0748
791,117.5139
792,118.3764
793,119.5376
794,121.2027
795,122.5976
796,123.9097
797,124.896
798,125.3838
799,125.8437
800,126.2991
